Product Name,Brand,Price (₹),Original Price (₹),Discount (%),Rating,Reviews,Material,Color,Size,Seating Height,Warranty (Months),Weight (KG),SKU,Dimensions (cm),Dimensions (inch)
Modern Fabric Sofa,ARRA,18000,20000,10%,3.5,5,Wood,Brown,2-Seater,14,6,20,FN1000000-S-PM20000,H 70 x W 120 x D 70,H 28 x W 48 x D 28
Luxury Leather Sofa,Urban Ladder,35000,39325,11%,3.6,12,Fabric,Grey,2-Seater,15,12,21,FN1000001-S-PM20001,H 71 x W 121 x D 71,H 29 x W 49 x D 29
Wooden Classic Sofa,Ikea,25000,28409,12%,3.7,19,Leather,Beige,2-Seater,16,18,22,FN1000002-S-PM20002,H 72 x W 122 x D 72,H 30 x W 50 x D 30
Compact Urban Sofa,Nilkamal,15000,17241,13%,3.8,26,Velvet,Blue,2-Seater,17,24,23,FN1000003-S-PM20003,H 73 x W 123 x D 73,H 31 x W 51 x D 31
Premium Designer Sofa,Godrej Interio,42000,48837,14%,3.9,33,Wood,Black,2-Seater,18,36,24,FN1000004-S-PM20004,H 74 x W 124 x D 74,H 32 x W 52 x D 32
Minimalist Sofa,Durian,20000,23529,15%,4,40,Fabric,Brown,2-Seater,19,6,25,FN1000005-S-PM20005,H 75 x W 125 x D 75,H 33 x W 53 x D 33
L-Shaped Sofa,HomeTown,30000,35714,16%,4.1,47,Leather,Grey,2-Seater,20,12,26,FN1000006-S-PM20006,H 76 x W 126 x D 76,H 34 x W 54 x D 34
Convertible Sofa Bed,ARRA,27000,32530,17%,4.2,54,Velvet,Beige,2-Seater,21,18,27,FN1000007-S-PM20007,H 77 x W 127 x D 77,H 35 x W 55 x D 35
Velvet Sofa,Urban Ladder,32000,39024,18%,4.3,61,Wood,Blue,2-Seater,22,24,28,FN1000008-S-PM20008,H 78 x W 128 x D 78,H 36 x W 56 x D 36
Recliner Sofa,Ikea,40000,49382,19%,4.4,68,Fabric,Black,2-Seater,14,36,29,FN1000009-S-PM20009,H 79 x W 129 x D 79,H 37 x W 57 x D 37
Modern Fabric Sofa,Nilkamal,18000,22500,20%,4.5,75,Leather,Brown,2-Seater,15,6,30,FN1000010-S-PM20010,H 80 x W 130 x D 80,H 38 x W 58 x D 38
Luxury Leather Sofa,Godrej Interio,35000,44303,21%,4.6,82,Velvet,Grey,2-Seater,16,12,31,FN1000011-S-PM20011,H 81 x W 131 x D 81,H 28 x W 59 x D 39
Wooden Classic Sofa,Durian,25000,32051,22%,4.7,89,Wood,Beige,2-Seater,17,18,32,FN1000012-S-PM20012,H 82 x W 132 x D 82,H 29 x W 60 x D 40
Compact Urban Sofa,HomeTown,15000,19480,23%,4.8,96,Fabric,Blue,2-Seater,18,24,33,FN1000013-S-PM20013,H 83 x W 133 x D 83,H 30 x W 61 x D 28
Premium Designer Sofa,ARRA,42000,55263,24%,4.9,103,Leather,Black,2-Seater,19,36,34,FN1000014-S-PM20014,H 84 x W 134 x D 84,H 31 x W 62 x D 29
Minimalist Sofa,Urban Ladder,20000,26666,25%,3.5,110,Velvet,Brown,2-Seater,20,6,35,FN1000015-S-PM20015,H 85 x W 135 x D 85,H 32 x W 63 x D 30
L-Shaped Sofa,Ikea,30000,40540,26%,3.6,117,Wood,Grey,2-Seater,21,12,36,FN1000016-S-PM20016,H 86 x W 136 x D 86,H 33 x W 64 x D 31
Convertible Sofa Bed,Nilkamal,27000,36986,27%,3.7,124,Fabric,Beige,2-Seater,22,18,37,FN1000017-S-PM20017,H 87 x W 137 x D 87,H 34 x W 65 x D 32
Velvet Sofa,Godrej Interio,32000,44444,28%,3.8,131,Leather,Blue,2-Seater,14,24,38,FN1000018-S-PM20018,H 88 x W 138 x D 88,H 35 x W 66 x D 33
Recliner Sofa,Durian,40000,56338,29%,3.9,138,Velvet,Black,2-Seater,15,36,39,FN1000019-S-PM20019,H 89 x W 139 x D 89,H 36 x W 67 x D 34
Modern Fabric Sofa,HomeTown,18000,25714,30%,4,145,Wood,Brown,2-Seater,16,6,40,FN1000020-S-PM20020,H 90 x W 140 x D 90,H 37 x W 68 x D 35
Luxury Leather Sofa,ARRA,35000,50724,31%,4.1,152,Fabric,Grey,2-Seater,17,12,41,FN1000021-S-PM20021,H 91 x W 141 x D 91,H 38 x W 69 x D 36
Wooden Classic Sofa,Urban Ladder,25000,36764,32%,4.2,159,Leather,Beige,2-Seater,18,18,42,FN1000022-S-PM20022,H 92 x W 142 x D 92,H 28 x W 70 x D 37
Compact Urban Sofa,Ikea,15000,22388,33%,4.3,166,Velvet,Blue,2-Seater,19,24,43,FN1000023-S-PM20023,H 93 x W 143 x D 93,H 29 x W 71 x D 38
Premium Designer Sofa,Nilkamal,42000,63636,34%,4.4,173,Wood,Black,2-Seater,20,36,44,FN1000024-S-PM20024,H 94 x W 144 x D 94,H 30 x W 72 x D 39
Minimalist Sofa,Godrej Interio,20000,30769,35%,4.5,180,Fabric,Brown,2-Seater,21,6,45,FN1000025-S-PM20025,H 95 x W 145 x D 95,H 31 x W 73 x D 40
L-Shaped Sofa,Durian,30000,46875,36%,4.6,187,Leather,Grey,2-Seater,22,12,46,FN1000026-S-PM20026,H 70 x W 146 x D 96,H 32 x W 74 x D 28
Convertible Sofa Bed,HomeTown,27000,42857,37%,4.7,194,Velvet,Beige,2-Seater,14,18,47,FN1000027-S-PM20027,H 71 x W 147 x D 97,H 33 x W 75 x D 29
Velvet Sofa,ARRA,32000,51612,38%,4.8,201,Wood,Blue,2-Seater,15,24,48,FN1000028-S-PM20028,H 72 x W 148 x D 98,H 34 x W 76 x D 30
Recliner Sofa,Urban Ladder,40000,65573,39%,4.9,208,Fabric,Black,2-Seater,16,36,49,FN1000029-S-PM20029,H 73 x W 149 x D 99,H 35 x W 77 x D 31
Modern Fabric Sofa,Ikea,18000,30000,40%,3.5,215,Leather,Brown,2-Seater,17,6,50,FN1000030-S-PM20030,H 74 x W 150 x D 100,H 36 x W 78 x D 32
Luxury Leather Sofa,Nilkamal,35000,59322,41%,3.6,222,Velvet,Grey,2-Seater,18,12,51,FN1000031-S-PM20031,H 75 x W 151 x D 70,H 37 x W 79 x D 33
Wooden Classic Sofa,Godrej Interio,25000,43103,42%,3.7,229,Wood,Beige,2-Seater,19,18,52,FN1000032-S-PM20032,H 76 x W 152 x D 71,H 38 x W 80 x D 34
Compact Urban Sofa,Durian,15000,26315,43%,3.8,236,Fabric,Blue,2-Seater,20,24,53,FN1000033-S-PM20033,H 77 x W 153 x D 72,H 28 x W 48 x D 35
Premium Designer Sofa,HomeTown,42000,75000,44%,3.9,243,Leather,Black,2-Seater,21,36,54,FN1000034-S-PM20034,H 78 x W 154 x D 73,H 29 x W 49 x D 36
Minimalist Sofa,ARRA,20000,36363,45%,4,250,Velvet,Brown,2-Seater,22,6,55,FN1000035-S-PM20035,H 79 x W 155 x D 74,H 30 x W 50 x D 37
L-Shaped Sofa,Urban Ladder,30000,55555,46%,4.1,257,Wood,Grey,2-Seater,14,12,56,FN1000036-S-PM20036,H 80 x W 156 x D 75,H 31 x W 51 x D 38
Convertible Sofa Bed,Ikea,27000,50943,47%,4.2,264,Fabric,Beige,2-Seater,15,18,57,FN1000037-S-PM20037,H 81 x W 157 x D 76,H 32 x W 52 x D 39
Velvet Sofa,Nilkamal,32000,61538,48%,4.3,271,Leather,Blue,2-Seater,16,24,58,FN1000038-S-PM20038,H 82 x W 158 x D 77,H 33 x W 53 x D 40
Recliner Sofa,Godrej Interio,40000,78431,49%,4.4,278,Velvet,Black,2-Seater,17,36,59,FN1000039-S-PM20039,H 83 x W 159 x D 78,H 34 x W 54 x D 28
Modern Fabric Sofa,Durian,18000,36000,50%,4.5,285,Wood,Brown,2-Seater,18,6,60,FN1000040-S-PM20040,H 84 x W 160 x D 79,H 35 x W 55 x D 29
Luxury Leather Sofa,HomeTown,35000,38888,10%,4.6,292,Fabric,Grey,2-Seater,19,12,20,FN1000041-S-PM20041,H 85 x W 161 x D 80,H 36 x W 56 x D 30
Wooden Classic Sofa,ARRA,25000,28089,11%,4.7,299,Leather,Beige,2-Seater,20,18,21,FN1000042-S-PM20042,H 86 x W 162 x D 81,H 37 x W 57 x D 31
Compact Urban Sofa,Urban Ladder,15000,17045,12%,4.8,306,Velvet,Blue,2-Seater,21,24,22,FN1000043-S-PM20043,H 87 x W 163 x D 82,H 38 x W 58 x D 32
Premium Designer Sofa,Ikea,42000,48275,13%,4.9,313,Wood,Black,2-Seater,22,36,23,FN1000044-S-PM20044,H 88 x W 164 x D 83,H 28 x W 59 x D 33
Minimalist Sofa,Nilkamal,20000,23255,14%,3.5,320,Fabric,Brown,2-Seater,14,6,24,FN1000045-S-PM20045,H 89 x W 165 x D 84,H 29 x W 60 x D 34
L-Shaped Sofa,Godrej Interio,30000,35294,15%,3.6,327,Leather,Grey,2-Seater,15,12,25,FN1000046-S-PM20046,H 90 x W 166 x D 85,H 30 x W 61 x D 35
Convertible Sofa Bed,Durian,27000,32142,16%,3.7,334,Velvet,Beige,2-Seater,16,18,26,FN1000047-S-PM20047,H 91 x W 167 x D 86,H 31 x W 62 x D 36
Velvet Sofa,HomeTown,32000,38554,17%,3.8,341,Wood,Blue,2-Seater,17,24,27,FN1000048-S-PM20048,H 92 x W 168 x D 87,H 32 x W 63 x D 37
Recliner Sofa,ARRA,40000,48780,18%,3.9,348,Fabric,Black,2-Seater,18,36,28,FN1000049-S-PM20049,H 93 x W 169 x D 88,H 33 x W 64 x D 38
Modern Fabric Sofa,Urban Ladder,18000,22222,19%,4,355,Leather,Brown,2-Seater,19,6,29,FN1000050-S-PM20050,H 94 x W 170 x D 89,H 34 x W 65 x D 39
Luxury Leather Sofa,Ikea,35000,43750,20%,4.1,362,Velvet,Grey,2-Seater,20,12,30,FN1000051-S-PM20051,H 95 x W 171 x D 90,H 35 x W 66 x D 40
Wooden Classic Sofa,Nilkamal,25000,31645,21%,4.2,369,Wood,Beige,2-Seater,21,18,31,FN1000052-S-PM20052,H 70 x W 172 x D 91,H 36 x W 67 x D 28
Compact Urban Sofa,Godrej Interio,15000,19230,22%,4.3,376,Fabric,Blue,2-Seater,22,24,32,FN1000053-S-PM20053,H 71 x W 173 x D 92,H 37 x W 68 x D 29
Premium Designer Sofa,Durian,42000,54545,23%,4.4,383,Leather,Black,2-Seater,14,36,33,FN1000054-S-PM20054,H 72 x W 174 x D 93,H 38 x W 69 x D 30
Minimalist Sofa,HomeTown,20000,26315,24%,4.5,390,Velvet,Brown,2-Seater,15,6,34,FN1000055-S-PM20055,H 73 x W 175 x D 94,H 28 x W 70 x D 31
L-Shaped Sofa,ARRA,30000,40000,25%,4.6,397,Wood,Grey,2-Seater,16,12,35,FN1000056-S-PM20056,H 74 x W 176 x D 95,H 29 x W 71 x D 32
Convertible Sofa Bed,Urban Ladder,27000,36486,26%,4.7,404,Fabric,Beige,2-Seater,17,18,36,FN1000057-S-PM20057,H 75 x W 177 x D 96,H 30 x W 72 x D 33
Velvet Sofa,Ikea,32000,43835,27%,4.8,411,Leather,Blue,2-Seater,18,24,37,FN1000058-S-PM20058,H 76 x W 178 x D 97,H 31 x W 73 x D 34
Recliner Sofa,Nilkamal,40000,55555,28%,4.9,418,Velvet,Black,2-Seater,19,36,38,FN1000059-S-PM20059,H 77 x W 179 x D 98,H 32 x W 74 x D 35
Modern Fabric Sofa,Godrej Interio,18000,25352,29%,3.5,425,Wood,Brown,2-Seater,20,6,39,FN1000060-S-PM20060,H 78 x W 180 x D 99,H 33 x W 75 x D 36
Luxury Leather Sofa,Durian,35000,50000,30%,3.6,432,Fabric,Grey,2-Seater,21,12,40,FN1000061-S-PM20061,H 79 x W 181 x D 100,H 34 x W 76 x D 37
Wooden Classic Sofa,HomeTown,25000,36231,31%,3.7,439,Leather,Beige,2-Seater,22,18,41,FN1000062-S-PM20062,H 80 x W 182 x D 70,H 35 x W 77 x D 38
Compact Urban Sofa,ARRA,15000,22058,32%,3.8,446,Velvet,Blue,2-Seater,14,24,42,FN1000063-S-PM20063,H 81 x W 183 x D 71,H 36 x W 78 x D 39
Premium Designer Sofa,Urban Ladder,42000,62686,33%,3.9,453,Wood,Black,2-Seater,15,36,43,FN1000064-S-PM20064,H 82 x W 184 x D 72,H 37 x W 79 x D 40
Minimalist Sofa,Ikea,20000,30303,34%,4,460,Fabric,Brown,2-Seater,16,6,44,FN1000065-S-PM20065,H 83 x W 185 x D 73,H 38 x W 80 x D 28
L-Shaped Sofa,Nilkamal,30000,46153,35%,4.1,467,Leather,Grey,2-Seater,17,12,45,FN1000066-S-PM20066,H 84 x W 186 x D 74,H 28 x W 48 x D 29
Convertible Sofa Bed,Godrej Interio,27000,42187,36%,4.2,474,Velvet,Beige,2-Seater,18,18,46,FN1000067-S-PM20067,H 85 x W 187 x D 75,H 29 x W 49 x D 30
Velvet Sofa,Durian,32000,50793,37%,4.3,481,Wood,Blue,2-Seater,19,24,47,FN1000068-S-PM20068,H 86 x W 188 x D 76,H 30 x W 50 x D 31
Recliner Sofa,HomeTown,40000,64516,38%,4.4,488,Fabric,Black,2-Seater,20,36,48,FN1000069-S-PM20069,H 87 x W 189 x D 77,H 31 x W 51 x D 32
Modern Fabric Sofa,ARRA,18000,29508,39%,4.5,495,Leather,Brown,2-Seater,21,6,49,FN1000070-S-PM20070,H 88 x W 190 x D 78,H 32 x W 52 x D 33
Luxury Leather Sofa,Urban Ladder,35000,58333,40%,4.6,502,Velvet,Grey,2-Seater,22,12,50,FN1000071-S-PM20071,H 89 x W 191 x D 79,H 33 x W 53 x D 34
Wooden Classic Sofa,Ikea,25000,42372,41%,4.7,509,Wood,Beige,2-Seater,14,18,51,FN1000072-S-PM20072,H 90 x W 192 x D 80,H 34 x W 54 x D 35
Compact Urban Sofa,Nilkamal,15000,25862,42%,4.8,516,Fabric,Blue,2-Seater,15,24,52,FN1000073-S-PM20073,H 91 x W 193 x D 81,H 35 x W 55 x D 36
Premium Designer Sofa,Godrej Interio,42000,73684,43%,4.9,523,Leather,Black,2-Seater,16,36,53,FN1000074-S-PM20074,H 92 x W 194 x D 82,H 36 x W 56 x D 37
Minimalist Sofa,Durian,20000,35714,44%,3.5,530,Velvet,Brown,2-Seater,17,6,54,FN1000075-S-PM20075,H 93 x W 195 x D 83,H 37 x W 57 x D 38
L-Shaped Sofa,HomeTown,30000,54545,45%,3.6,537,Wood,Grey,2-Seater,18,12,55,FN1000076-S-PM20076,H 94 x W 196 x D 84,H 38 x W 58 x D 39
Convertible Sofa Bed,ARRA,27000,50000,46%,3.7,544,Fabric,Beige,2-Seater,19,18,56,FN1000077-S-PM20077,H 95 x W 197 x D 85,H 28 x W 59 x D 40
Velvet Sofa,Urban Ladder,32000,60377,47%,3.8,551,Leather,Blue,2-Seater,20,24,57,FN1000078-S-PM20078,H 70 x W 198 x D 86,H 29 x W 60 x D 28
Recliner Sofa,Ikea,40000,76923,48%,3.9,558,Velvet,Black,2-Seater,21,36,58,FN1000079-S-PM20079,H 71 x W 199 x D 87,H 30 x W 61 x D 29
Modern Fabric Sofa,Nilkamal,18000,35294,49%,4,565,Wood,Brown,2-Seater,22,6,59,FN1000080-S-PM20080,H 72 x W 200 x D 88,H 31 x W 62 x D 30
Luxury Leather Sofa,Godrej Interio,35000,70000,50%,4.1,572,Fabric,Grey,2-Seater,14,12,60,FN1000081-S-PM20081,H 73 x W 120 x D 89,H 32 x W 63 x D 31
Wooden Classic Sofa,Durian,25000,27777,10%,4.2,579,Leather,Beige,2-Seater,15,18,20,FN1000082-S-PM20082,H 74 x W 121 x D 90,H 33 x W 64 x D 32
Compact Urban Sofa,HomeTown,15000,16853,11%,4.3,586,Velvet,Blue,2-Seater,16,24,21,FN1000083-S-PM20083,H 75 x W 122 x D 91,H 34 x W 65 x D 33
Premium Designer Sofa,ARRA,42000,47727,12%,4.4,593,Wood,Black,2-Seater,17,36,22,FN1000084-S-PM20084,H 76 x W 123 x D 92,H 35 x W 66 x D 34
Minimalist Sofa,Urban Ladder,20000,22988,13%,4.5,600,Fabric,Brown,2-Seater,18,6,23,FN1000085-S-PM20085,H 77 x W 124 x D 93,H 36 x W 67 x D 35
L-Shaped Sofa,Ikea,30000,34883,14%,4.6,607,Leather,Grey,2-Seater,19,12,24,FN1000086-S-PM20086,H 78 x W 125 x D 94,H 37 x W 68 x D 36
Convertible Sofa Bed,Nilkamal,27000,31764,15%,4.7,614,Velvet,Beige,2-Seater,20,18,25,FN1000087-S-PM20087,H 79 x W 126 x D 95,H 38 x W 69 x D 37
Velvet Sofa,Godrej Interio,32000,38095,16%,4.8,621,Wood,Blue,2-Seater,21,24,26,FN1000088-S-PM20088,H 80 x W 127 x D 96,H 28 x W 70 x D 38
Recliner Sofa,Durian,40000,48192,17%,4.9,628,Fabric,Black,2-Seater,22,36,27,FN1000089-S-PM20089,H 81 x W 128 x D 97,H 29 x W 71 x D 39
Modern Fabric Sofa,HomeTown,18000,21951,18%,3.5,635,Leather,Brown,2-Seater,14,6,28,FN1000090-S-PM20090,H 82 x W 129 x D 98,H 30 x W 72 x D 40
Luxury Leather Sofa,ARRA,35000,43209,19%,3.6,642,Velvet,Grey,2-Seater,15,12,29,FN1000091-S-PM20091,H 83 x W 130 x D 99,H 31 x W 73 x D 28
Wooden Classic Sofa,Urban Ladder,25000,31250,20%,3.7,649,Wood,Beige,2-Seater,16,18,30,FN1000092-S-PM20092,H 84 x W 131 x D 100,H 32 x W 74 x D 29
Compact Urban Sofa,Ikea,15000,18987,21%,3.8,656,Fabric,Blue,2-Seater,17,24,31,FN1000093-S-PM20093,H 85 x W 132 x D 70,H 33 x W 75 x D 30
Premium Designer Sofa,Nilkamal,42000,53846,22%,3.9,663,Leather,Black,2-Seater,18,36,32,FN1000094-S-PM20094,H 86 x W 133 x D 71,H 34 x W 76 x D 31
Minimalist Sofa,Godrej Interio,20000,25974,23%,4,670,Velvet,Brown,2-Seater,19,6,33,FN1000095-S-PM20095,H 87 x W 134 x D 72,H 35 x W 77 x D 32
L-Shaped Sofa,Durian,30000,39473,24%,4.1,677,Wood,Grey,2-Seater,20,12,34,FN1000096-S-PM20096,H 88 x W 135 x D 73,H 36 x W 78 x D 33
Convertible Sofa Bed,HomeTown,27000,36000,25%,4.2,684,Fabric,Beige,2-Seater,21,18,35,FN1000097-S-PM20097,H 89 x W 136 x D 74,H 37 x W 79 x D 34
Velvet Sofa,ARRA,32000,43243,26%,4.3,691,Leather,Blue,2-Seater,22,24,36,FN1000098-S-PM20098,H 90 x W 137 x D 75,H 38 x W 80 x D 35
