Product Name,Brand,Price (₹),Original Price (₹),Discount (%),Rating,Reviews,Material,Color,Size,Seating Height,Warranty (Months),Weight (KG),SKU,Dimensions (cm),Dimensions (inch)
Recliner Sofa,Urban Ladder,40000,54794,27%,4.4,698,Velvet,Black,2-Seater,14,36,37,FN1000099-S-PM20099,H 91 x W 138 x D 76,H 28 x W 48 x D 36
Modern Fabric Sofa,Ikea,18000,25000,28%,4.5,705,Wood,Brown,2-Seater,15,6,38,FN1000100-S-PM20100,H 92 x W 139 x D 77,H 29 x W 49 x D 37
Luxury Leather Sofa,Nilkamal,35000,49295,29%,4.6,712,Fabric,Grey,2-Seater,16,12,39,FN1000101-S-PM20101,H 93 x W 140 x D 78,H 30 x W 50 x D 38
Wooden Classic Sofa,Godrej Interio,25000,35714,30%,4.7,719,Leather,Beige,2-Seater,17,18,40,FN1000102-S-PM20102,H 94 x W 141 x D 79,H 31 x W 51 x D 39
Compact Urban Sofa,Durian,15000,21739,31%,4.8,726,Velvet,Blue,2-Seater,18,24,41,FN1000103-S-PM20103,H 95 x W 142 x D 80,H 32 x W 52 x D 40
Premium Designer Sofa,HomeTown,42000,61764,32%,4.9,733,Wood,Black,2-Seater,19,36,42,FN1000104-S-PM20104,H 70 x W 143 x D 81,H 33 x W 53 x D 28
Minimalist Sofa,ARRA,20000,29850,33%,3.5,740,Fabric,Brown,2-Seater,20,6,43,FN1000105-S-PM20105,H 71 x W 144 x D 82,H 34 x W 54 x D 29
L-Shaped Sofa,Urban Ladder,30000,45454,34%,3.6,747,Leather,Grey,2-Seater,21,12,44,FN1000106-S-PM20106,H 72 x W 145 x D 83,H 35 x W 55 x D 30
Convertible Sofa Bed,Ikea,27000,41538,35%,3.7,754,Velvet,Beige,2-Seater,22,18,45,FN1000107-S-PM20107,H 73 x W 146 x D 84,H 36 x W 56 x D 31
Velvet Sofa,Nilkamal,32000,50000,36%,3.8,761,Wood,Blue,2-Seater,14,24,46,FN1000108-S-PM20108,H 74 x W 147 x D 85,H 37 x W 57 x D 32
Recliner Sofa,Godrej Interio,40000,63492,37%,3.9,768,Fabric,Black,2-Seater,15,36,47,FN1000109-S-PM20109,H 75 x W 148 x D 86,H 38 x W 58 x D 33
Modern Fabric Sofa,Durian,18000,29032,38%,4,775,Leather,Brown,2-Seater,16,6,48,FN1000110-S-PM20110,H 76 x W 149 x D 87,H 28 x W 59 x D 34
Luxury Leather Sofa,HomeTown,35000,57377,39%,4.1,782,Velvet,Grey,2-Seater,17,12,49,FN1000111-S-PM20111,H 77 x W 150 x D 88,H 29 x W 60 x D 35
Wooden Classic Sofa,ARRA,25000,41666,40%,4.2,789,Wood,Beige,2-Seater,18,18,50,FN1000112-S-PM20112,H 78 x W 151 x D 89,H 30 x W 61 x D 36
Compact Urban Sofa,Urban Ladder,15000,25423,41%,4.3,796,Fabric,Blue,2-Seater,19,24,51,FN1000113-S-PM20113,H 79 x W 152 x D 90,H 31 x W 62 x D 37
Premium Designer Sofa,Ikea,42000,72413,42%,4.4,803,Leather,Black,2-Seater,20,36,52,FN1000114-S-PM20114,H 80 x W 153 x D 91,H 32 x W 63 x D 38
Minimalist Sofa,Nilkamal,20000,35087,43%,4.5,810,Velvet,Brown,2-Seater,21,6,53,FN1000115-S-PM20115,H 81 x W 154 x D 92,H 33 x W 64 x D 39
L-Shaped Sofa,Godrej Interio,30000,53571,44%,4.6,817,Wood,Grey,2-Seater,22,12,54,FN1000116-S-PM20116,H 82 x W 155 x D 93,H 34 x W 65 x D 40
Convertible Sofa Bed,Durian,27000,49090,45%,4.7,824,Fabric,Beige,2-Seater,14,18,55,FN1000117-S-PM20117,H 83 x W 156 x D 94,H 35 x W 66 x D 28
Velvet Sofa,HomeTown,32000,59259,46%,4.8,831,Leather,Blue,2-Seater,15,24,56,FN1000118-S-PM20118,H 84 x W 157 x D 95,H 36 x W 67 x D 29
Recliner Sofa,ARRA,40000,75471,47%,4.9,838,Velvet,Black,2-Seater,16,36,57,FN1000119-S-PM20119,H 85 x W 158 x D 96,H 37 x W 68 x D 30
Modern Fabric Sofa,Urban Ladder,18000,34615,48%,3.5,845,Wood,Brown,2-Seater,17,6,58,FN1000120-S-PM20120,H 86 x W 159 x D 97,H 38 x W 69 x D 31
Luxury Leather Sofa,Ikea,35000,68627,49%,3.6,852,Fabric,Grey,2-Seater,18,12,59,FN1000121-S-PM20121,H 87 x W 160 x D 98,H 28 x W 70 x D 32
Wooden Classic Sofa,Nilkamal,25000,50000,50%,3.7,859,Leather,Beige,2-Seater,19,18,60,FN1000122-S-PM20122,H 88 x W 161 x D 99,H 29 x W 71 x D 33
Compact Urban Sofa,Godrej Interio,15000,16666,10%,3.8,866,Velvet,Blue,2-Seater,20,24,20,FN1000123-S-PM20123,H 89 x W 162 x D 100,H 30 x W 72 x D 34
Premium Designer Sofa,Durian,42000,47191,11%,3.9,873,Wood,Black,2-Seater,21,36,21,FN1000124-S-PM20124,H 90 x W 163 x D 70,H 31 x W 73 x D 35
Minimalist Sofa,HomeTown,20000,22727,12%,4,880,Fabric,Brown,2-Seater,22,6,22,FN1000125-S-PM20125,H 91 x W 164 x D 71,H 32 x W 74 x D 36
L-Shaped Sofa,ARRA,30000,34482,13%,4.1,887,Leather,Grey,2-Seater,14,12,23,FN1000126-S-PM20126,H 92 x W 165 x D 72,H 33 x W 75 x D 37
Convertible Sofa Bed,Urban Ladder,27000,31395,14%,4.2,894,Velvet,Beige,2-Seater,15,18,24,FN1000127-S-PM20127,H 93 x W 166 x D 73,H 34 x W 76 x D 38
Velvet Sofa,Ikea,32000,37647,15%,4.3,901,Wood,Blue,2-Seater,16,24,25,FN1000128-S-PM20128,H 94 x W 167 x D 74,H 35 x W 77 x D 39
Recliner Sofa,Nilkamal,40000,47619,16%,4.4,908,Fabric,Black,2-Seater,17,36,26,FN1000129-S-PM20129,H 95 x W 168 x D 75,H 36 x W 78 x D 40
Modern Fabric Sofa,Godrej Interio,18000,21686,17%,4.5,915,Leather,Brown,2-Seater,18,6,27,FN1000130-S-PM20130,H 70 x W 169 x D 76,H 37 x W 79 x D 28
Luxury Leather Sofa,Durian,35000,42682,18%,4.6,922,Velvet,Grey,2-Seater,19,12,28,FN1000131-S-PM20131,H 71 x W 170 x D 77,H 38 x W 80 x D 29
Wooden Classic Sofa,HomeTown,25000,30864,19%,4.7,929,Wood,Beige,2-Seater,20,18,29,FN1000132-S-PM20132,H 72 x W 171 x D 78,H 28 x W 48 x D 30
Compact Urban Sofa,ARRA,15000,18750,20%,4.8,936,Fabric,Blue,2-Seater,21,24,30,FN1000133-S-PM20133,H 73 x W 172 x D 79,H 29 x W 49 x D 31
Premium Designer Sofa,Urban Ladder,42000,53164,21%,4.9,943,Leather,Black,2-Seater,22,36,31,FN1000134-S-PM20134,H 74 x W 173 x D 80,H 30 x W 50 x D 32
Minimalist Sofa,Ikea,20000,25641,22%,3.5,950,Velvet,Brown,2-Seater,14,6,32,FN1000135-S-PM20135,H 75 x W 174 x D 81,H 31 x W 51 x D 33
L-Shaped Sofa,Nilkamal,30000,38961,23%,3.6,957,Wood,Grey,2-Seater,15,12,33,FN1000136-S-PM20136,H 76 x W 175 x D 82,H 32 x W 52 x D 34
Convertible Sofa Bed,Godrej Interio,27000,35526,24%,3.7,964,Fabric,Beige,2-Seater,16,18,34,FN1000137-S-PM20137,H 77 x W 176 x D 83,H 33 x W 53 x D 35
Velvet Sofa,Durian,32000,42666,25%,3.8,971,Leather,Blue,2-Seater,17,24,35,FN1000138-S-PM20138,H 78 x W 177 x D 84,H 34 x W 54 x D 36
Recliner Sofa,HomeTown,40000,54054,26%,3.9,978,Velvet,Black,2-Seater,18,36,36,FN1000139-S-PM20139,H 79 x W 178 x D 85,H 35 x W 55 x D 37
Modern Fabric Sofa,ARRA,18000,24657,27%,4,985,Wood,Brown,2-Seater,19,6,37,FN1000140-S-PM20140,H 80 x W 179 x D 86,H 36 x W 56 x D 38
Luxury Leather Sofa,Urban Ladder,35000,48611,28%,4.1,992,Fabric,Grey,2-Seater,20,12,38,FN1000141-S-PM20141,H 81 x W 180 x D 87,H 37 x W 57 x D 39
Wooden Classic Sofa,Ikea,25000,35211,29%,4.2,999,Leather,Beige,2-Seater,21,18,39,FN1000142-S-PM20142,H 82 x W 181 x D 88,H 38 x W 58 x D 40
Compact Urban Sofa,Nilkamal,15000,21428,30%,4.3,11,Velvet,Blue,2-Seater,22,24,40,FN1000143-S-PM20143,H 83 x W 182 x D 89,H 28 x W 59 x D 28
Premium Designer Sofa,Godrej Interio,42000,60869,31%,4.4,18,Wood,Black,2-Seater,14,36,41,FN1000144-S-PM20144,H 84 x W 183 x D 90,H 29 x W 60 x D 29
Minimalist Sofa,Durian,20000,29411,32%,4.5,25,Fabric,Brown,2-Seater,15,6,42,FN1000145-S-PM20145,H 85 x W 184 x D 91,H 30 x W 61 x D 30
L-Shaped Sofa,HomeTown,30000,44776,33%,4.6,32,Leather,Grey,2-Seater,16,12,43,FN1000146-S-PM20146,H 86 x W 185 x D 92,H 31 x W 62 x D 31
Convertible Sofa Bed,ARRA,27000,40909,34%,4.7,39,Velvet,Beige,2-Seater,17,18,44,FN1000147-S-PM20147,H 87 x W 186 x D 93,H 32 x W 63 x D 32
Velvet Sofa,Urban Ladder,32000,49230,35%,4.8,46,Wood,Blue,2-Seater,18,24,45,FN1000148-S-PM20148,H 88 x W 187 x D 94,H 33 x W 64 x D 33
Recliner Sofa,Ikea,40000,62500,36%,4.9,53,Fabric,Black,2-Seater,19,36,46,FN1000149-S-PM20149,H 89 x W 188 x D 95,H 34 x W 65 x D 34
Modern Fabric Sofa,Nilkamal,18000,28571,37%,3.5,60,Leather,Brown,2-Seater,20,6,47,FN1000150-S-PM20150,H 90 x W 189 x D 96,H 35 x W 66 x D 35
Luxury Leather Sofa,Godrej Interio,35000,56451,38%,3.6,67,Velvet,Grey,2-Seater,21,12,48,FN1000151-S-PM20151,H 91 x W 190 x D 97,H 36 x W 67 x D 36
Wooden Classic Sofa,Durian,25000,40983,39%,3.7,74,Wood,Beige,2-Seater,22,18,49,FN1000152-S-PM20152,H 92 x W 191 x D 98,H 37 x W 68 x D 37
Compact Urban Sofa,HomeTown,15000,25000,40%,3.8,81,Fabric,Blue,2-Seater,14,24,50,FN1000153-S-PM20153,H 93 x W 192 x D 99,H 38 x W 69 x D 38
Premium Designer Sofa,ARRA,42000,71186,41%,3.9,88,Leather,Black,2-Seater,15,36,51,FN1000154-S-PM20154,H 94 x W 193 x D 100,H 28 x W 70 x D 39
Minimalist Sofa,Urban Ladder,20000,34482,42%,4,95,Velvet,Brown,2-Seater,16,6,52,FN1000155-S-PM20155,H 95 x W 194 x D 70,H 29 x W 71 x D 40
L-Shaped Sofa,Ikea,30000,52631,43%,4.1,102,Wood,Grey,2-Seater,17,12,53,FN1000156-S-PM20156,H 70 x W 195 x D 71,H 30 x W 72 x D 28
Convertible Sofa Bed,Nilkamal,27000,48214,44%,4.2,109,Fabric,Beige,2-Seater,18,18,54,FN1000157-S-PM20157,H 71 x W 196 x D 72,H 31 x W 73 x D 29
Velvet Sofa,Godrej Interio,32000,58181,45%,4.3,116,Leather,Blue,2-Seater,19,24,55,FN1000158-S-PM20158,H 72 x W 197 x D 73,H 32 x W 74 x D 30
Recliner Sofa,Durian,40000,74074,46%,4.4,123,Velvet,Black,2-Seater,20,36,56,FN1000159-S-PM20159,H 73 x W 198 x D 74,H 33 x W 75 x D 31
Modern Fabric Sofa,HomeTown,18000,33962,47%,4.5,130,Wood,Brown,2-Seater,21,6,57,FN1000160-S-PM20160,H 74 x W 199 x D 75,H 34 x W 76 x D 32
Luxury Leather Sofa,ARRA,35000,67307,48%,4.6,137,Fabric,Grey,2-Seater,22,12,58,FN1000161-S-PM20161,H 75 x W 200 x D 76,H 35 x W 77 x D 33
Wooden Classic Sofa,Urban Ladder,25000,49019,49%,4.7,144,Leather,Beige,2-Seater,14,18,59,FN1000162-S-PM20162,H 76 x W 120 x D 77,H 36 x W 78 x D 34
Compact Urban Sofa,Ikea,15000,30000,50%,4.8,151,Velvet,Blue,2-Seater,15,24,60,FN1000163-S-PM20163,H 77 x W 121 x D 78,H 37 x W 79 x D 35
Premium Designer Sofa,Nilkamal,42000,46666,10%,4.9,158,Wood,Black,2-Seater,16,36,20,FN1000164-S-PM20164,H 78 x W 122 x D 79,H 38 x W 80 x D 36
Minimalist Sofa,Godrej Interio,20000,22471,11%,3.5,165,Fabric,Brown,2-Seater,17,6,21,FN1000165-S-PM20165,H 79 x W 123 x D 80,H 28 x W 48 x D 37
L-Shaped Sofa,Durian,30000,34090,12%,3.6,172,Leather,Grey,2-Seater,18,12,22,FN1000166-S-PM20166,H 80 x W 124 x D 81,H 29 x W 49 x D 38
Convertible Sofa Bed,HomeTown,27000,31034,13%,3.7,179,Velvet,Beige,2-Seater,19,18,23,FN1000167-S-PM20167,H 81 x W 125 x D 82,H 30 x W 50 x D 39
Velvet Sofa,ARRA,32000,37209,14%,3.8,186,Wood,Blue,2-Seater,20,24,24,FN1000168-S-PM20168,H 82 x W 126 x D 83,H 31 x W 51 x D 40
Recliner Sofa,Urban Ladder,40000,47058,15%,3.9,193,Fabric,Black,2-Seater,21,36,25,FN1000169-S-PM20169,H 83 x W 127 x D 84,H 32 x W 52 x D 28
Modern Fabric Sofa,Ikea,18000,21428,16%,4,200,Leather,Brown,2-Seater,22,6,26,FN1000170-S-PM20170,H 84 x W 128 x D 85,H 33 x W 53 x D 29
Luxury Leather Sofa,Nilkamal,35000,42168,17%,4.1,207,Velvet,Grey,2-Seater,14,12,27,FN1000171-S-PM20171,H 85 x W 129 x D 86,H 34 x W 54 x D 30
Wooden Classic Sofa,Godrej Interio,25000,30487,18%,4.2,214,Wood,Beige,2-Seater,15,18,28,FN1000172-S-PM20172,H 86 x W 130 x D 87,H 35 x W 55 x D 31
Compact Urban Sofa,Durian,15000,18518,19%,4.3,221,Fabric,Blue,2-Seater,16,24,29,FN1000173-S-PM20173,H 87 x W 131 x D 88,H 36 x W 56 x D 32
Premium Designer Sofa,HomeTown,42000,52500,20%,4.4,228,Leather,Black,2-Seater,17,36,30,FN1000174-S-PM20174,H 88 x W 132 x D 89,H 37 x W 57 x D 33
Minimalist Sofa,ARRA,20000,25316,21%,4.5,235,Velvet,Brown,2-Seater,18,6,31,FN1000175-S-PM20175,H 89 x W 133 x D 90,H 38 x W 58 x D 34
L-Shaped Sofa,Urban Ladder,30000,38461,22%,4.6,242,Wood,Grey,2-Seater,19,12,32,FN1000176-S-PM20176,H 90 x W 134 x D 91,H 28 x W 59 x D 35
Convertible Sofa Bed,Ikea,27000,35064,23%,4.7,249,Fabric,Beige,2-Seater,20,18,33,FN1000177-S-PM20177,H 91 x W 135 x D 92,H 29 x W 60 x D 36
Velvet Sofa,Nilkamal,32000,42105,24%,4.8,256,Leather,Blue,2-Seater,21,24,34,FN1000178-S-PM20178,H 92 x W 136 x D 93,H 30 x W 61 x D 37
Recliner Sofa,Godrej Interio,40000,53333,25%,4.9,263,Velvet,Black,2-Seater,22,36,35,FN1000179-S-PM20179,H 93 x W 137 x D 94,H 31 x W 62 x D 38
Modern Fabric Sofa,Durian,18000,24324,26%,3.5,270,Wood,Brown,2-Seater,14,6,36,FN1000180-S-PM20180,H 94 x W 138 x D 95,H 32 x W 63 x D 39
Luxury Leather Sofa,HomeTown,35000,47945,27%,3.6,277,Fabric,Grey,2-Seater,15,12,37,FN1000181-S-PM20181,H 95 x W 139 x D 96,H 33 x W 64 x D 40
Wooden Classic Sofa,ARRA,25000,34722,28%,3.7,284,Leather,Beige,2-Seater,16,18,38,FN1000182-S-PM20182,H 70 x W 140 x D 97,H 34 x W 65 x D 28
Compact Urban Sofa,Urban Ladder,15000,21126,29%,3.8,291,Velvet,Blue,2-Seater,17,24,39,FN1000183-S-PM20183,H 71 x W 141 x D 98,H 35 x W 66 x D 29
Premium Designer Sofa,Ikea,42000,60000,30%,3.9,298,Wood,Black,2-Seater,18,36,40,FN1000184-S-PM20184,H 72 x W 142 x D 99,H 36 x W 67 x D 30
Minimalist Sofa,Nilkamal,20000,28985,31%,4,305,Fabric,Brown,2-Seater,19,6,41,FN1000185-S-PM20185,H 73 x W 143 x D 100,H 37 x W 68 x D 31
L-Shaped Sofa,Godrej Interio,30000,44117,32%,4.1,312,Leather,Grey,2-Seater,20,12,42,FN1000186-S-PM20186,H 74 x W 144 x D 70,H 38 x W 69 x D 32
Convertible Sofa Bed,Durian,27000,40298,33%,4.2,319,Velvet,Beige,2-Seater,21,18,43,FN1000187-S-PM20187,H 75 x W 145 x D 71,H 28 x W 70 x D 33
Velvet Sofa,HomeTown,32000,48484,34%,4.3,326,Wood,Blue,2-Seater,22,24,44,FN1000188-S-PM20188,H 76 x W 146 x D 72,H 29 x W 71 x D 34
Recliner Sofa,ARRA,40000,61538,35%,4.4,333,Fabric,Black,2-Seater,14,36,45,FN1000189-S-PM20189,H 77 x W 147 x D 73,H 30 x W 72 x D 35
Modern Fabric Sofa,Urban Ladder,18000,28125,36%,4.5,340,Leather,Brown,2-Seater,15,6,46,FN1000190-S-PM20190,H 78 x W 148 x D 74,H 31 x W 73 x D 36
Luxury Leather Sofa,Ikea,35000,55555,37%,4.6,347,Velvet,Grey,2-Seater,16,12,47,FN1000191-S-PM20191,H 79 x W 149 x D 75,H 32 x W 74 x D 37
Wooden Classic Sofa,Nilkamal,25000,40322,38%,4.7,354,Wood,Beige,2-Seater,17,18,48,FN1000192-S-PM20192,H 80 x W 150 x D 76,H 33 x W 75 x D 38
Compact Urban Sofa,Godrej Interio,15000,24590,39%,4.8,361,Fabric,Blue,2-Seater,18,24,49,FN1000193-S-PM20193,H 81 x W 151 x D 77,H 34 x W 76 x D 39
Premium Designer Sofa,Durian,42000,70000,40%,4.9,368,Leather,Black,2-Seater,19,36,50,FN1000194-S-PM20194,H 82 x W 152 x D 78,H 35 x W 77 x D 40
Minimalist Sofa,HomeTown,20000,33898,41%,3.5,375,Velvet,Brown,2-Seater,20,6,51,FN1000195-S-PM20195,H 83 x W 153 x D 79,H 36 x W 78 x D 28
L-Shaped Sofa,ARRA,30000,51724,42%,3.6,382,Wood,Grey,2-Seater,21,12,52,FN1000196-S-PM20196,H 84 x W 154 x D 80,H 37 x W 79 x D 29
Convertible Sofa Bed,Urban Ladder,27000,47368,43%,3.7,389,Fabric,Beige,2-Seater,22,18,53,FN1000197-S-PM20197,H 85 x W 155 x D 81,H 38 x W 80 x D 30
Velvet Sofa,Ikea,32000,57142,44%,3.8,396,Leather,Blue,2-Seater,14,24,54,FN1000198-S-PM20198,H 86 x W 156 x D 82,H 28 x W 48 x D 31
Recliner Sofa,Nilkamal,40000,72727,45%,3.9,403,Velvet,Black,2-Seater,15,36,55,FN1000199-S-PM20199,H 87 x W 157 x D 83,H 29 x W 49 x D 32
